player_name,points,wins,top_10,avg_score,total_distance,total_drives,fairway_%,fairways_hit,possible_fairways,%_gir,greens_hit,#_holes,total_sg:putting,sg:ott,sg:apr,sg:arg,rounds,total_sg:t,total_sg:t2g,total_sg:p,events_y,money,year
Harold_Varner_III,638,0,1,70.681,46819,156,60.29,656,1088,66.38,932,1404,0.737,0.215,0.389,0.225,80,56.235,55.5,0.737,25,1535155.0,2021
Jhonattan_Vegas,611,0,3,70.59100000000001,45887,148,57.0,586,1028,67.27,896,1332,-13.783,0.7290000000000001,0.159,-0.11,76,27.459,41.246,-13.783,22,1441023.0,2021
Wyndham_Clark,609,0,2,71.116,45438,144,47.11,472,1002,63.35,821,1296,-0.292,0.092,-0.639,0.34600000000000003,76,-13.345,-13.049000000000001,-0.292,23,1198800.0,2021
Adam_Long,602,0,2,71.37,43675,152,66.51,701,1054,61.99,848,1368,11.634,0.075,-0.616,-0.18899999999999997,79,-34.395,-46.025,11.634,27,1442451.0,2021
Peter_Malnati,602,0,3,71.233,41678,144,56.76,571,1006,62.35,808,1296,13.368,-0.23600000000000002,-0.13699999999999998,0.11,76,-1.8419999999999999,-15.208,13.368,27,1405382.0,2021
Brandon_Hagy,595,0,2,71.475,42222,136,50.11,475,948,62.66,767,1224,-5.202999999999999,0.38799999999999996,-0.508,0.244,72,1.248,6.454,-5.202999999999999,24,1449865.0,2021
Lanto_Griffin,593,0,2,70.764,49657,164,56.57,646,1142,65.51,967,1476,24.853,0.08800000000000001,0.435,-0.179,87,49.571000000000005,24.72,24.853,26,1592306.0,2021
Joel_Dahmen,590,1,2,71.205,41959,144,66.93,672,1004,64.66,838,1296,-16.828,0.20600000000000002,0.13,-0.059000000000000004,74,-1.273,15.558,-16.828,23,1275878.0,2021
Doug_Ghim,587,0,1,70.574,45599,156,67.06,731,1090,69.94,982,1404,-17.865,0.14,0.6559999999999999,0.175,82,44.312,62.18,-17.865,24,1234882.0,2021
Henrik_Norlander,586,0,3,71.21300000000001,48215,164,67.16,767,1142,69.31,1023,1476,-29.499000000000002,0.16899999999999998,0.486,-0.17300000000000001,86,5.676,35.179,-29.499000000000002,28,1377085.0,2021
Doc_Redman,575,0,4,71.092,42235,144,64.4,644,1000,65.82,853,1296,1.5830000000000002,-0.055999999999999994,0.32299999999999995,-0.243,76,3.111,1.5319999999999998,1.5830000000000002,24,1352498.0,2021
Kramer_Hickok,574,0,2,71.141,36684,126,68.31,597,874,67.64,767,1134,-9.067,0.129,-0.218,0.272,65,0.107,9.176,-9.067,22,1327275.0,2021
Brian_Gay,572,1,1,72.355,35419,124,58.39,508,870,60.3,673,1116,9.045,-0.8059999999999999,-0.723,0.027000000000000003,62,-72.021,-81.064,9.045,23,900574.0,2021
Harry_Higgs,567,0,2,71.437,39251,132,56.09,516,920,63.47,754,1188,10.062999999999999,-0.08199999999999999,-0.066,-0.004,68,0.826,-9.232999999999999,10.062999999999999,24,1555050.0,2021
Alex_Noren,567,0,1,70.926,44020,148,57.5,590,1026,62.09,827,1332,26.889,-0.02,-0.145,0.21600000000000003,78,30.28,3.3939999999999997,26.889,23,1428759.0,2021
Hank_Lebioda,564,0,3,70.61399999999999,38864,132,60.87,560,920,69.28,823,1188,22.947,-0.121,0.39299999999999996,0.067,68,39.172,16.227,22.947,21,1286430.0,2021
Ian_Poulter,553,0,2,70.342,36343,128,66.14,590,892,60.33,695,1152,34.032,-0.05,-0.267,0.33799999999999997,68,35.022,0.991,34.032,19,1372534.0,2021
Brendan_Steele,536,0,3,71.33,44252,148,62.02,640,1032,65.54,873,1332,-7.497999999999999,0.168,0.069,0.069,78,12.42,19.92,-7.497999999999999,22,1358526.0,2021
Luke_List,527,0,5,70.97800000000001,49476,158,55.63,613,1102,68.14,969,1422,-39.051,0.619,0.309,0.065,81,25.511,64.565,-39.051,28,1209594.0,2021
Tyler_McCumber,504,0,2,71.58,36952,120,58.21,489,840,64.17,693,1080,-38.783,0.292,-0.02,-0.156,60,-33.466,5.319,-38.783,21,934567.0,2021
James_Hahn,503,0,5,70.73,35607,120,66.55,555,834,69.07,746,1080,14.165999999999999,0.127,0.08800000000000001,-0.008,62,24.963,10.799000000000001,14.165999999999999,22,1164122.0,2021
Matt_Wallace,502,0,2,70.438,31045,104,60.03,437,728,64.32,602,936,4.633,0.171,0.535,0.275,59,40.968,36.336999999999996,4.633,17,1369595.0,2021
Tom_Hoge,502,0,1,71.161,48361,168,62.84,734,1168,62.83,950,1512,-13.009,-0.114,0.447,-0.040999999999999995,86,9.229,22.241999999999997,-13.009,29,1266111.0,2021
Jason_Day,489,0,3,70.719,37909,126,61.33,536,874,66.75,757,1134,6.042000000000001,0.48200000000000004,-0.019,0.337,66,49.263000000000005,43.222,6.042000000000001,21,1291234.0,2021
Denny_McCarthy,487,0,3,71.11,48376,164,62.19,709,1140,63.28,934,1476,28.932,-0.146,-0.354,0.13699999999999998,82,4.21,-24.718000000000004,28.932,27,1088651.0,2021
Sepp_Straka,486,0,3,70.87,53156,176,57.49,706,1228,66.67,1056,1584,6.496,0.107,-0.037000000000000005,-0.077,92,6.032,-0.461,6.496,28,1045273.0,2021
Matthew_NeSmith,485,0,2,70.977,48437,164,65.5,748,1142,71.75,1059,1476,-29.613000000000003,0.037000000000000005,0.74,-0.046,84,24.506,54.123000000000005,-29.613000000000003,26,1111102.0,2021
Zach_Johnson,485,0,3,70.365,45090,156,62.08,673,1084,66.6,935,1404,49.993,-0.204,0.102,0.102,78,50.037,0.049,49.993,22,1217071.0,2021
Andrew_Putnam,483,0,3,70.969,45907,162,61.68,697,1130,66.32,967,1458,29.247,-0.544,0.10099999999999999,0.124,83,8.21,-21.034000000000002,29.247,28,1169734.0,2021
Brendon_Todd,478,0,2,70.884,42761,156,75.09,820,1092,63.75,895,1404,49.88399999999999,-0.278,-0.264,0.209,85,28.934,-20.948,49.88399999999999,25,1201004.0,2021
Kyle_Stanley,477,0,2,71.158,48997,168,66.64,781,1172,69.64,1053,1512,-47.495,0.221,0.5579999999999999,0.027999999999999997,88,7.336,54.835,-47.495,25,1061178.0,2021
Russell_Knox,473,0,2,70.993,48748,168,65.84,769,1168,70.63,1068,1512,-23.316,-0.009000000000000001,0.526,-0.013000000000000001,86,12.958,36.275999999999996,-23.316,28,1077027.0,2021
Brandt_Snedeker,471,0,2,71.102,42285,148,64.01,658,1028,64.19,855,1332,18.207,-0.27699999999999997,0.075,0.217,78,19.159000000000002,0.955,18.207,24,1181890.0,2021
Brian_Stuard,459,0,2,71.077,52189,188,73.21,959,1310,65.9,1115,1692,10.133,-0.147,0.054000000000000006,0.175,96,16.538,6.409,10.133,31,1043625.0,2021
Dylan_Frittelli,453,0,3,71.46300000000001,39671,128,52.13,464,890,64.41,742,1152,-22.916,0.077,-0.415,0.327,70,-23.443,-0.523,-22.916,25,1543025.0,2021
Richy_Werenski,449,0,2,71.542,45684,156,60.64,661,1090,63.46,891,1404,7.185,-0.18100000000000002,-0.121,0.012,82,-14.57,-21.753,7.185,27,1146029.0,2021
Anirban_Lahiri,446,0,3,71.081,35579,120,56.79,477,840,64.35,695,1080,-0.09699999999999999,0.24100000000000002,-0.31,0.11699999999999999,60,2.116,2.2159999999999997,-0.09699999999999999,20,912601.0,2021
Adam_Schenk,443,0,1,71.097,54935,184,60.61,777,1282,67.33,1115,1656,5.472,0.195,0.12300000000000001,-0.20199999999999999,96,13.65,8.18,5.472,29,865523.0,2021
C.T._Pan,440,0,2,70.977,43686,148,60.56,625,1032,65.24,869,1332,1.995,-0.11199999999999999,0.23399999999999999,0.136,76,17.267,15.276,1.995,25,1186763.0,2021
Sam_Ryder,432,0,4,71.372,45044,152,61.13,648,1060,67.4,922,1368,-4.9639999999999995,-0.07200000000000001,0.14,-0.37799999999999995,80,-22.976,-18.011,-4.9639999999999995,28,973609.0,2021
Matt_Kuchar,431,0,1,71.294,33231,116,66.09,534,808,64.37,672,1044,3.795,-0.32,0.075,0.248,65,3.9989999999999997,0.20800000000000002,3.795,21,1307903.0,2021
Adam_Scott,418,0,1,70.596,37802,124,54.61,474,868,64.7,722,1116,26.941,-0.127,0.27399999999999997,0.054000000000000006,62,36.826,9.887,26.941,16,1069093.0,2021
Keith_Mitchell,416,0,2,71.507,41447,136,54.44,515,946,63.81,781,1224,-13.117,0.513,-0.23800000000000002,-0.406,72,-19.836,-6.718999999999999,-13.117,24,1080518.0,2021
Pat_Perez,411,0,2,70.836,51485,176,61.34,752,1226,65.66,1040,1584,24.176,-0.152,0.105,0.17,92,32.793,8.619,24.176,29,891989.0,2021
Nate_Lashley,407,0,2,71.23100000000001,40763,140,61.89,604,976,65.24,822,1260,-10.06,-0.314,-0.051,0.287,70,-14.212,-4.148,-10.06,22,867245.0,2021
Scott_Stallings,405,0,2,70.946,40406,136,59.09,559,946,68.3,836,1224,-0.13699999999999998,-0.043,0.488,-0.27,72,10.425,10.565,-0.13699999999999998,23,955126.0,2021
Camilo_Villegas,394,0,2,71.221,40302,138,56.15,539,960,64.49,801,1242,-22.616,-0.214,0.33899999999999997,0.363,69,5.2170000000000005,27.836,-22.616,23,904764.0,2021
Chez_Reavie,389,0,1,71.19800000000001,41539,148,72.63,751,1034,67.12,894,1332,-29.264,0.08,0.562,-0.05,76,6.849,36.117,-29.264,26,923709.0,2021
Adam_Hadwin,388,0,2,71.163,45518,156,61.23,665,1086,60.54,850,1404,31.901999999999997,-0.111,-0.40299999999999997,0.244,78,13.264000000000001,-18.635,31.901999999999997,25,951728.0,2021
Patrick_Rodgers,388,0,1,71.218,58722,192,53.88,722,1340,66.72,1153,1728,4.542,0.345,-0.45,0.047,96,0.381,-4.159,4.542,31,873108.0,2021
Brice_Garnett,387,0,3,70.91,46983,164,70.98,812,1144,67.62,998,1476,24.021,0.063,-0.295,-0.175,86,0.025,-23.991999999999997,24.021,27,805205.0,2021
Chesson_Hadley,385,0,1,71.28699999999999,36755,124,56.47,489,866,63.89,713,1116,29.895,-0.282,-0.21,-0.22399999999999998,64,-4.458,-34.353,29.895,23,826771.0,2021
Rickie_Fowler,382,0,1,71.367,42726,144,61.16,614,1004,63.89,828,1296,-9.85,0.10099999999999999,-0.212,0.415,72,8.107999999999999,17.961,-9.85,22,1055518.0,2021
Chase_Seiffert,373,0,1,71.149,41774,144,64.71,651,1006,66.82,866,1296,-3.463,-0.037000000000000005,0.23,-0.14300000000000002,74,-0.9390000000000001,2.526,-3.463,25,802633.0,2021
Gary_Woodland,370,0,2,71.366,37270,120,54.06,453,838,62.13,671,1080,-6.377999999999999,-0.10099999999999999,0.324,0.018000000000000002,60,5.178,11.558,-6.377999999999999,21,1020027.0,2021
Tommy_Fleetwood,368,0,2,71.062,31018,104,58.7,425,724,64.0,599,936,-1.2890000000000001,-0.203,0.052000000000000005,0.46299999999999997,57,10.901,12.19,-1.2890000000000001,16,1087127.0,2021
Justin_Rose,367,0,2,70.85,27261,92,60.19,384,638,65.34,541,828,14.619000000000002,-0.153,-0.011000000000000001,-0.233,50,1.527,-13.091,14.619000000000002,15,1113380.0,2021
Charles_Howell_III,365,0,1,70.847,39134,132,60.76,559,920,66.5,790,1188,8.361,0.49,-0.466,0.17600000000000002,66,18.195999999999998,9.837,8.361,20,923038.0,2021
Michael_Thompson,364,0,1,71.301,39005,136,68.25,647,948,65.2,798,1224,4.274,-0.11599999999999999,-0.19,0.125,70,-6.88,-11.152000000000001,4.274,21,840009.0,2021
Cameron_Percy,363,0,2,71.199,39240,138,63.07,608,964,71.9,893,1242,-14.148,-0.14300000000000002,0.5760000000000001,-0.168,73,-0.385,13.764000000000001,-14.148,24,716101.0,2021
Austin_Cook,353,0,1,71.449,39295,136,66.07,625,946,64.62,791,1224,26.953000000000003,-0.026000000000000002,-0.48700000000000004,-0.115,70,-11.329,-38.278,26.953000000000003,26,838527.0,2021
Francesco_Molinari,353,0,3,71.04,24544,84,60.1,351,584,63.76,482,756,-5.031000000000001,0.071,0.316,0.298,42,16.182000000000002,21.215999999999998,-5.031000000000001,14,996977.0,2021
Ryan_Armour,348,0,3,71.008,40379,144,72.91,732,1004,66.2,858,1296,19.230999999999998,-0.057,-0.057,-0.031,72,10.311,-8.918,19.230999999999998,25,754124.0,2021
Rory_Sabbatini,337,0,1,71.321,40657,142,61.55,610,991,64.01,818,1278,9.146,-0.068,-0.254,-0.037000000000000005,71,-13.457,-22.601999999999997,9.146,24,819916.0,2021
Ryan_Moore,332,0,1,71.092,23860,84,73.29,428,584,65.34,494,756,-7.777,0.384,0.055,-0.035,42,7.996,15.774000000000001,-7.777,13,777994.0,2021
Erik_van_Rooyen,328,0,2,70.998,32126,106,56.66,417,736,62.68,598,954,2.825,0.111,0.064,0.081,61,15.107999999999999,12.283,2.825,21,839378.0,2021
Michael_Gligic,314,0,1,71.708,42912,144,59.56,598,1004,66.44,861,1296,15.45,-0.064,-0.26,-0.322,76,-18.162,-33.609,15.45,26,581907.0,2021
Cameron_Champ,311,0,1,72.493,37480,118,57.99,479,826,65.16,692,1062,-47.266000000000005,0.716,-0.253,-0.435,63,-45.888000000000005,1.379,-47.266000000000005,22,800278.0,2021
Vaughn_Taylor,306,0,1,71.305,42864,154,67.63,725,1072,64.57,895,1386,19.423,-0.48100000000000004,-0.012,0.17800000000000002,79,0.251,-19.167,19.423,28,648742.0,2021
Beau_Hossler,303,0,1,71.6,48569,160,55.92,623,1114,65.28,940,1440,11.632,0.092,-0.37799999999999995,-0.031,82,-8.006,-19.636,11.632,27,629667.0,2021
Joseph_Bramlett,298,0,1,71.516,44398,144,57.27,575,1004,68.6,889,1296,-34.086,0.33899999999999997,0.11199999999999999,0.141,74,-4.502,29.584,-34.086,24,678441.0,2021
Rafael_Campos,282,0,2,71.747,32288,108,57.16,431,754,63.68,619,972,4.2,0.276,-0.635,-0.26,56,-17.451,-21.648000000000003,4.2,22,552578.0,2021
Danny_Willett,278,0,2,71.164,27622,94,60.0,393,655,60.64,513,846,-2.6919999999999997,-0.055999999999999994,-0.207,0.518,51,4.475,7.169,-2.6919999999999997,16,618364.0,2021
Bo_Van_Pelt,262,0,1,72.128,38521,132,61.55,565,918,63.8,758,1188,-13.619000000000002,-0.191,-0.168,-0.183,68,-40.181999999999995,-26.559,-13.619000000000002,25,623139.0,2021
